ScanID,EchoTime,RepetitionTime,InversionTime
sub-OAS30978_ses-d0059_FLAIR,0.091,9.0,2.5
sub-OAS30978_ses-d0059_T2w,0.454,3.2,
sub-OAS31064_ses-d0762_run-01_T1w,0.00393,1.9,1.1
sub-OAS30891_ses-d0213_run-02_T1w,0.00316,2.4,1.0
sub-OAS30891_ses-d0213_T2w,0.455,3.2,
sub-OAS30765_ses-d0890_T2w,0.455,3.2,
sub-OAS30765_ses-d0890_run-02_T1w,0.00316,2.4,1.0
sub-OAS30682_ses-d0465_T2w,0.455,3.2,
sub-OAS30682_ses-d0465_run-02_T1w,0.00316,2.4,1.0
sub-OAS30320_ses-d1740_T1w,0.00295,2.3,0.9
sub-OAS30320_ses-d1740_FLAIR,0.091,9.0,2.5
sub-OAS30220_ses-d0104_T1w,0.00316,2.4,1.0
sub-OAS30220_ses-d0104_T2w,0.455,3.2,
sub-OAS30220_ses-d0104_FLAIR,0.076,9.0,2.5
sub-OAS30272_ses-d0057_T2w,0.455,3.2,
